date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:11:01	1681/1681	---M--	200	added ('OK')	text/plain	etag:%22691-42c6495c65f00%22	http://www.careforcows.org/robots.txt		(from )
12:11:02	10689/10689	---M--	200	added ('OK')	text/html	date:Sat,%2022%20Feb%202014%2015:11:03%20GMT	http://www.careforcows.org/	www.careforcows.org/index.html	(from )
12:11:03	11267/11267	---M--	200	added ('OK')	text/html	date:Sat,%2022%20Feb%202014%2015:11:04%20GMT	http://www.careforcows.org/residents	www.careforcows.org/residents.html	(from http://www.careforcows.org/)
12:11:04	13003/13003	---M--	200	added ('OK')	text/html	date:Sat,%2022%20Feb%202014%2015:11:05%20GMT	http://www.careforcows.org/image	www.careforcows.org/image.html	(from http://www.careforcows.org/)
12:11:05	7157/7157	---M--	200	added ('OK')	text/html	date:Sat,%2022%20Feb%202014%2015:11:06%20GMT	http://www.careforcows.org/downloads/care_for_cows_videos	www.careforcows.org/downloads/care_for_cows_videos.html	(from http://www.careforcows.org/)
12:11:05	10406/10406	---M--	200	added ('OK')	text/html	date:Sat,%2022%20Feb%202014%2015:11:06%20GMT	http://www.careforcows.org/how_can_i_help/	www.careforcows.org/how_can_i_help/index.html	(from http://www.careforcows.org/)
12:11:07	9433/9433	---M--	200	added ('OK')	text/html	date:Sat,%2022%20Feb%202014%2015:11:07%20GMT	http://www.careforcows.org/contact_us/	www.careforcows.org/contact_us/index.html	(from http://www.careforcows.org/)
12:11:08	14744/14744	---M--	200	added ('OK')	text/html	date:Sat,%2022%20Feb%202014%2015:11:07%20GMT	http://www.careforcows.org/articles/	www.careforcows.org/articles/index.html	(from http://www.careforcows.org/)
12:11:09	16331/16331	---M--	200	added ('OK')	image/jpeg	etag:%223fcb-47e4eb3364218%22	http://www.careforcows.org/images/homepage/2.jpg	www.careforcows.org/images/homepage/2.jpg	(from http://www.careforcows.org/)
12:11:09	31481/31481	---M--	200	added ('OK')	image/jpeg	etag:%227af9-47284d8f2d438%22	http://www.careforcows.org/images/homepage/1.jpg	www.careforcows.org/images/homepage/1.jpg	(from http://www.careforcows.org/)
12:11:09	10212/10212	---M--	200	added ('OK')	text/html	date:Sat,%2022%20Feb%202014%2015:11:10%20GMT	http://www.careforcows.org/links/	www.careforcows.org/links/index.html	(from http://www.careforcows.org/)
12:11:10	19276/19276	---M--	200	added ('OK')	image/jpeg	etag:%224b4c-47e4eb33e027b%22	http://www.careforcows.org/images/homepage/3.jpg	www.careforcows.org/images/homepage/3.jpg	(from http://www.careforcows.org/)
12:11:10	16749/16749	---M--	200	added ('OK')	text/html	date:Sat,%2022%20Feb%202014%2015:11:11%20GMT	http://www.careforcows.org/news/	www.careforcows.org/news/index.html	(from http://www.careforcows.org/)
12:11:11	21105/21105	---M--	200	added ('OK')	image/jpeg	etag:%225271-47e4eb30f64a6%22	http://www.careforcows.org/images/homepage/4.jpg	www.careforcows.org/images/homepage/4.jpg	(from http://www.careforcows.org/)
12:11:12	24541/24541	---M--	200	added ('OK')	image/jpeg	etag:%225fdd-47e4eb2f22052%22	http://www.careforcows.org/images/homepage/5.jpg	www.careforcows.org/images/homepage/5.jpg	(from http://www.careforcows.org/)
12:11:16	35060/35060	---M--	200	added ('OK')	image/jpeg	etag:%2288f4-47e4eb24fb564%22	http://www.careforcows.org/images/homepage/7.jpg	www.careforcows.org/images/homepage/7.jpg	(from http://www.careforcows.org/)
12:11:18	20714/20714	---M--	200	added ('OK')	image/jpeg	etag:%2250ea-47e4eb21b85b7%22	http://www.careforcows.org/images/homepage/9.jpg	www.careforcows.org/images/homepage/9.jpg	(from http://www.careforcows.org/)
12:11:18	26296/26296	---M--	200	added ('OK')	image/jpeg	etag:%2266b8-47e4eb228e3a8%22	http://www.careforcows.org/images/homepage/8.jpg	www.careforcows.org/images/homepage/8.jpg	(from http://www.careforcows.org/)
12:11:21	28255/28255	---M--	200	added ('OK')	image/jpeg	etag:%226e5f-47e4eb1fa595f%22	http://www.careforcows.org/images/homepage/10.jpg	www.careforcows.org/images/homepage/10.jpg	(from http://www.careforcows.org/)
12:11:22	22901/22901	---M--	200	added ('OK')	image/jpeg	etag:%225975-47e4eb1f563cc%22	http://www.careforcows.org/images/homepage/11.jpg	www.careforcows.org/images/homepage/11.jpg	(from http://www.careforcows.org/)
12:11:22	22992/22992	---M--	200	added ('OK')	image/jpeg	etag:%2259d0-47e4eb1c83910%22	http://www.careforcows.org/images/homepage/12.jpg	www.careforcows.org/images/homepage/12.jpg	(from http://www.careforcows.org/)
12:11:23	16245/16245	---M--	200	added ('OK')	image/jpeg	etag:%223f75-47e4eb1ca409d%22	http://www.careforcows.org/images/homepage/13.jpg	www.careforcows.org/images/homepage/13.jpg	(from http://www.careforcows.org/)
12:11:26	20027/20027	---M--	200	added ('OK')	image/jpeg	etag:%224e3b-47e4eb18a2a06%22	http://www.careforcows.org/images/homepage/15.jpg	www.careforcows.org/images/homepage/15.jpg	(from http://www.careforcows.org/)
12:11:27	30049/30049	---M--	200	added ('OK')	image/jpeg	etag:%227561-47e4eb19ec77a%22	http://www.careforcows.org/images/homepage/14.jpg	www.careforcows.org/images/homepage/14.jpg	(from http://www.careforcows.org/)
12:11:28	29693/29693	---M--	200	added ('OK')	image/jpeg	etag:%2273fd-47e4eb1696b0d%22	http://www.careforcows.org/images/homepage/16.jpg	www.careforcows.org/images/homepage/16.jpg	(from http://www.careforcows.org/)
12:11:31	32067/32067	---M--	200	added ('OK')	image/jpeg	etag:%227d43-47e4eb16461f1%22	http://www.careforcows.org/images/homepage/17.jpg	www.careforcows.org/images/homepage/17.jpg	(from http://www.careforcows.org/)
12:11:32	27739/27739	---M--	200	added ('OK')	image/jpeg	etag:%226c5b-47e4eb1347fea%22	http://www.careforcows.org/images/homepage/18.jpg	www.careforcows.org/images/homepage/18.jpg	(from http://www.careforcows.org/)
12:11:34	31849/31849	---M--	200	added ('OK')	image/jpeg	etag:%227c69-47e4eb12f6b15%22	http://www.careforcows.org/images/homepage/19.jpg	www.careforcows.org/images/homepage/19.jpg	(from http://www.careforcows.org/)
12:11:36	26133/26133	---M--	200	added ('OK')	image/jpeg	etag:%226615-47e4eb0eda2e3%22	http://www.careforcows.org/images/homepage/20.jpg	www.careforcows.org/images/homepage/20.jpg	(from http://www.careforcows.org/)
12:11:36	16013/16013	---M--	200	added ('OK')	image/jpeg	etag:%223e8d-4abe0acda630e%22	http://www.careforcows.org/images/homepage/22.jpg	www.careforcows.org/images/homepage/22.jpg	(from http://www.careforcows.org/)
12:11:36	27996/27996	---M--	200	added ('OK')	image/jpeg	etag:%226d5c-47e4eb0f8bad7%22	http://www.careforcows.org/images/homepage/21.jpg	www.careforcows.org/images/homepage/21.jpg	(from http://www.careforcows.org/)
12:11:39	21265/21265	---M--	200	added ('OK')	image/jpeg	etag:%225311-4abe0ac3e4569%22	http://www.careforcows.org/images/homepage/23.jpg	www.careforcows.org/images/homepage/23.jpg	(from http://www.careforcows.org/)
12:11:40	16821/16821	---M--	200	added ('OK')	image/jpeg	etag:%2241b5-4abe0ad274712%22	http://www.careforcows.org/images/homepage/25.jpg	www.careforcows.org/images/homepage/25.jpg	(from http://www.careforcows.org/)
12:11:41	27359/27359	---M--	200	added ('OK')	image/jpeg	etag:%226adf-4abe0ac812acb%22	http://www.careforcows.org/images/homepage/24.jpg	www.careforcows.org/images/homepage/24.jpg	(from http://www.careforcows.org/)
12:11:43	17001/17001	---M--	200	added ('OK')	image/jpeg	etag:%224269-4abe0b2423c32%22	http://www.careforcows.org/images/homepage/27.jpg	www.careforcows.org/images/homepage/27.jpg	(from http://www.careforcows.org/)
12:11:43	14022/14022	---M--	200	added ('OK')	image/jpeg	etag:%2236c6-4abe0b223b3a3%22	http://www.careforcows.org/images/homepage/28.jpg	www.careforcows.org/images/homepage/28.jpg	(from http://www.careforcows.org/)
12:11:44	25702/25702	---M--	200	added ('OK')	image/jpeg	etag:%226466-4abe0adcee23f%22	http://www.careforcows.org/images/homepage/26.jpg	www.careforcows.org/images/homepage/26.jpg	(from http://www.careforcows.org/)
12:11:45	29773/29773	---M--	200	added ('OK')	text/html	date:Sat,%2022%20Feb%202014%2015:11:46%20GMT	http://www.careforcows.org/downloads/newsletters_0	www.careforcows.org/downloads/newsletters_0.html	(from http://www.careforcows.org/)
